# clubelo_20240614.csv — point-in-time club ratings, verbatim clubelo.com free-API CSV response.
# SOURCE: clubelo.com free API, endpoint http://api.clubelo.com/2024-06-14 (no account/key).
#   Accessed 2026-06-10. Snapshot as-of 2024-06-14 for euro2024 (UEFA Euro 2024 opened 2024-06-14).
# clubelo.com terms: free to use, attribution appreciated (recorded in SOURCES.md).
# Point-in-time: the /<YYYY-MM-DD> route returns each club's Elo as-of that date,
#   reflecting ONLY club results known before it (leakage-safe, strictly pre-cutoff).
# Columns are the verbatim clubelo response: Rank,Club,Country,Level,Elo,From,To.
# The build script (scripts/build_squad_z.py) skips '#' lines; the join key is `Club`.
Rank,Club,Country,Level,Elo,From,To
1,Man City,ENG,1,2050.57299805,2024-05-20,2024-08-18
2,Real Madrid,ESP,1,1997.41125488,2024-06-02,2024-08-18
3,Inter,ITA,1,1964.77954102,2024-05-30,2024-08-17
4,Arsenal,ENG,1,1946.90283203,2024-05-23,2024-08-17
5,Leverkusen,GER,1,1925.04150391,2024-06-02,2024-08-22
6,Liverpool,ENG,1,1900.68835449,2024-06-02,2024-08-17
7,Bayern,GER,1,1900.06628418,2024-06-02,2024-08-22
8,Atalanta,ITA,1,1884.4744873,2024-06-03,2024-08-17
9,Barcelona,ESP,1,1882.09338379,2024-06-02,2024-08-16
10,Paris SG,FRA,1,1877.40136719,2024-06-02,2024-08-06
11,Dortmund,GER,1,1869.18908691,2024-06-02,2024-08-22
12,RB Leipzig,GER,1,1846.6940918,2024-06-02,2024-08-22
13,Milan,ITA,1,1838.72802734,2024-05-30,2024-08-17
14,Atletico,ESP,1,1828.52355957,2024-06-02,2024-08-19
15,Juventus,ITA,1,1827.82836914,2024-06-02,2024-08-19
16,Roma,ITA,1,1812.41601562,2024-05-30,2024-08-15
17,Chelsea,ENG,1,1810.11962891,2024-06-02,2024-08-09
18,Stuttgart,GER,1,1808.23937988,2024-06-02,2024-08-08
19,Sporting,POR,1,1805.62133789,2024-05-25,2024-07-25
20,Newcastle,ENG,1,1801.79711914,2024-05-25,2024-08-17
21,Bologna,ITA,1,1795.25170898,2024-05-30,2024-08-18
22,Girona,ESP,1,1793.73266602,2024-06-02,2024-08-15
23,PSV,NED,1,1793.68835449,2024-06-02,2024-07-25
24,Tottenham,ENG,1,1790.55664062,2024-05-27,2024-08-01
25,Lazio,ITA,1,1784.74365234,2024-05-30,2024-08-15
26,Man United,ENG,1,1779.04394531,2024-05-30,2024-08-01
27,Napoli,ITA,1,1778.8536377,2024-05-30,2024-08-01
