# config/squads/euro2024.csv — UEFA Euro 2024 squads (24 teams) for the P3 v0 k_squad sweep.
# tournament,team,player,club ; club = club at the tournament (the join key, never player).
# SOURCE: Wikipedia "UEFA Euro 2024 squads" (https://en.wikipedia.org/wiki/UEFA_Euro_2024_squads),
#   accessed 2026-06-10. team = martj42 store key. Cutoff for club-Elo join: 2024-06-14.
# Curated player+club only (no jersey/DOB) per the brief — for v0 the CLUB is what matters.
tournament,team,player,club
euro2024,Germany,Manuel Neuer,Bayern Munich
euro2024,Germany,Antonio Rüdiger,Real Madrid
euro2024,Germany,David Raum,RB Leipzig
euro2024,Germany,Jonathan Tah,Bayer Leverkusen
euro2024,Germany,Pascal Groß,Brighton & Hove Albion
euro2024,Germany,Joshua Kimmich,Bayern Munich
euro2024,Germany,Kai Havertz,Arsenal
euro2024,Germany,Toni Kroos,Real Madrid
euro2024,Germany,Niclas Füllkrug,Borussia Dortmund
euro2024,Germany,Jamal Musiala,Bayern Munich
euro2024,Germany,Chris Führich,VfB Stuttgart
euro2024,Germany,Oliver Baumann,TSG Hoffenheim
euro2024,Germany,Thomas Müller,Bayern Munich
euro2024,Germany,Maximilian Beier,TSG Hoffenheim
euro2024,Germany,Nico Schlotterbeck,Borussia Dortmund
euro2024,Germany,Waldemar Anton,VfB Stuttgart
euro2024,Germany,Florian Wirtz,Bayer Leverkusen
euro2024,Germany,Maximilian Mittelstädt,VfB Stuttgart
euro2024,Germany,Leroy Sané,Bayern Munich
euro2024,Germany,Benjamin Henrichs,RB Leipzig
euro2024,Germany,İlkay Gündoğan,Barcelona
euro2024,Germany,Marc-André ter Stegen,Barcelona
euro2024,Germany,Robert Andrich,Bayer Leverkusen
euro2024,Germany,Robin Koch,Eintracht Frankfurt
euro2024,Germany,Emre Can,Borussia Dortmund
euro2024,Germany,Deniz Undav,VfB Stuttgart
euro2024,Scotland,Angus Gunn,Norwich City
euro2024,Scotland,Anthony Ralston,Celtic
euro2024,Scotland,Andy Robertson,Liverpool
euro2024,Scotland,Scott McTominay,Manchester United
euro2024,Scotland,Grant Hanley,Norwich City
euro2024,Scotland,Kieran Tierney,Real Sociedad
euro2024,Scotland,John McGinn,Aston Villa
euro2024,Scotland,Callum McGregor,Celtic
euro2024,Scotland,Lawrence Shankland,Heart of Midlothian
euro2024,Scotland,Ché Adams,Southampton
euro2024,Scotland,Ryan Christie,Bournemouth
euro2024,Scotland,Liam Kelly,Motherwell
euro2024,Scotland,Jack Hendry,Al-Ettifaq
euro2024,Scotland,Billy Gilmour,Brighton & Hove Albion
euro2024,Scotland,Ryan Porteous,Watford
euro2024,Scotland,Liam Cooper,Leeds United
euro2024,Scotland,Stuart Armstrong,Southampton
euro2024,Scotland,Lewis Morgan,New York Red Bulls
euro2024,Scotland,Tommy Conway,Bristol City
euro2024,Scotland,Ryan Jack,Rangers
euro2024,Scotland,Zander Clark,Heart of Midlothian
euro2024,Scotland,Ross McCrorie,Bristol City
euro2024,Scotland,Kenny McLean,Norwich City
euro2024,Scotland,Greg Taylor,Celtic
euro2024,Scotland,James Forrest,Celtic
euro2024,Scotland,Scott McKenna,Copenhagen
euro2024,Hungary,Péter Gulácsi,RB Leipzig
euro2024,Hungary,Ádám Lang,Omonia
euro2024,Hungary,Botond Balogh,Parma
euro2024,Hungary,Attila Szalai,SC Freiburg
euro2024,Hungary,Attila Fiola,Fehérvár
euro2024,Hungary,Willi Orbán,RB Leipzig
euro2024,Hungary,Loïc Négo,Le Havre
euro2024,Hungary,Ádám Nagy,Spezia
euro2024,Hungary,Martin Ádám,Ulsan HD
euro2024,Hungary,Dominik Szoboszlai,Liverpool
euro2024,Hungary,Milos Kerkez,Bournemouth
euro2024,Hungary,Dénes Dibusz,Ferencváros
euro2024,Hungary,András Schäfer,Union Berlin
euro2024,Hungary,Bendegúz Bolla,Servette
euro2024,Hungary,László Kleinheisler,Hajduk Split
euro2024,Hungary,Dániel Gazdag,Philadelphia Union
euro2024,Hungary,Callum Styles,Sunderland
euro2024,Hungary,Zsolt Nagy,Puskás Akadémia
euro2024,Hungary,Barnabás Varga,Ferencváros
euro2024,Hungary,Roland Sallai,SC Freiburg
euro2024,Hungary,Endre Botka,Ferencváros
euro2024,Hungary,Péter Szappanos,Paks
euro2024,Hungary,Kevin Csoboth,Újpest
euro2024,Hungary,Márton Dárdai,Hertha BSC
euro2024,Hungary,Krisztofer Horváth,Kecskemét
euro2024,Hungary,Mihály Kata,MTK Budapest
euro2024,Switzerland,Yann Sommer,Inter Milan
euro2024,Switzerland,Leonidas Stergiou,VfB Stuttgart
euro2024,Switzerland,Silvan Widmer,Mainz 05
euro2024,Switzerland,Nico Elvedi,Borussia Mönchengladbach
euro2024,Switzerland,Manuel Akanji,Manchester City
euro2024,Switzerland,Denis Zakaria,Monaco
euro2024,Switzerland,Breel Embolo,Monaco
euro2024,Switzerland,Remo Freuler,Bologna
euro2024,Switzerland,Noah Okafor,Milan
euro2024,Switzerland,Granit Xhaka,Bayer Leverkusen
euro2024,Switzerland,Renato Steffen,Lugano
euro2024,Switzerland,Yvon Mvogo,Lorient
euro2024,Switzerland,Ricardo Rodríguez,Torino
euro2024,Switzerland,Steven Zuber,AEK Athens
euro2024,Switzerland,Cédric Zesiger,VfL Wolfsburg
euro2024,Switzerland,Vincent Sierro,Toulouse
euro2024,Switzerland,Ruben Vargas,FC Augsburg
euro2024,Switzerland,Kwadwo Duah,Ludogorets Razgrad
euro2024,Switzerland,Dan Ndoye,Bologna
euro2024,Switzerland,Michel Aebischer,Bologna
euro2024,Switzerland,Gregor Kobel,Borussia Dortmund
euro2024,Switzerland,Fabian Schär,Newcastle United
euro2024,Switzerland,Xherdan Shaqiri,Chicago Fire
euro2024,Switzerland,Ardon Jashari,Luzern
euro2024,Switzerland,Zeki Amdouni,Burnley
euro2024,Switzerland,Fabian Rieder,Rennes
euro2024,Spain,David Raya,Arsenal
euro2024,Spain,Dani Carvajal,Real Madrid
euro2024,Spain,Robin Le Normand,Real Sociedad
euro2024,Spain,Nacho,Real Madrid
euro2024,Spain,Daniel Vivian,Athletic Bilbao
euro2024,Spain,Mikel Merino,Real Sociedad
euro2024,Spain,Álvaro Morata,Atlético Madrid
euro2024,Spain,Fabián Ruiz,Paris Saint-Germain
euro2024,Spain,Joselu,Real Madrid
euro2024,Spain,Dani Olmo,RB Leipzig
euro2024,Spain,Ferran Torres,Barcelona
euro2024,Spain,Álex Grimaldo,Bayer Leverkusen
euro2024,Spain,Álex Remiro,Real Sociedad
euro2024,Spain,Aymeric Laporte,Al Nassr
euro2024,Spain,Álex Baena,Villarreal
euro2024,Spain,Rodri,Manchester City
euro2024,Spain,Nico Williams,Athletic Bilbao
euro2024,Spain,Martín Zubimendi,Real Sociedad
euro2024,Spain,Lamine Yamal,Barcelona
euro2024,Spain,Pedri,Barcelona
euro2024,Spain,Mikel Oyarzabal,Real Sociedad
euro2024,Spain,Jesús Navas,Sevilla
euro2024,Spain,Unai Simón,Athletic Bilbao
euro2024,Spain,Marc Cucurella,Chelsea
euro2024,Spain,Fermín López,Barcelona
euro2024,Spain,Ayoze Pérez,Real Betis
euro2024,Croatia,Dominik Livaković,Fenerbahçe
euro2024,Croatia,Josip Stanišić,Bayer Leverkusen
euro2024,Croatia,Marin Pongračić,Lecce
euro2024,Croatia,Joško Gvardiol,Manchester City
