selector,season,w,fold_mean_rps,is_selected,selected_w,n_fold_fixtures
loso,2019/20,0.00,0.20254840278391006,0,1.00,1900
loso,2019/20,0.15,0.2024362067137014,0,1.00,1900
loso,2019/20,0.30,0.2023534221138395,0,1.00,1900
loso,2019/20,0.50,0.2022795335714209,0,1.00,1900
loso,2019/20,0.75,0.2022260422161395,0,1.00,1900
loso,2019/20,1.00,0.2021940282343294,1,1.00,1900
loso,2020/21,0.00,0.19878509137750347,0,0.50,1900
loso,2020/21,0.15,0.1987160240307247,0,0.50,1900
loso,2020/21,0.30,0.19867532219391293,0,0.50,1900
loso,2020/21,0.50,0.1986549912818001,1,0.50,1900
loso,2020/21,0.75,0.198664546716268,0,0.50,1900
loso,2020/21,1.00,0.19869200084332567,0,0.50,1900
loso,2021/22,0.00,0.20356894200835085,0,0.75,1900
loso,2021/22,0.15,0.2034891990542817,0,0.75,1900
loso,2021/22,0.30,0.20343593945845442,0,0.75,1900
loso,2021/22,0.50,0.20339825173553264,0,0.75,1900
loso,2021/22,0.75,0.203387019301651,1,0.75,1900
loso,2021/22,1.00,0.203395011712345,0,0.75,1900
loso,2022/23,0.00,0.20052677875220806,0,1.00,1900
loso,2022/23,0.15,0.20032105394428992,0,1.00,1900
loso,2022/23,0.30,0.2001457805132262,0,1.00,1900
loso,2022/23,0.50,0.19995508053826772,0,1.00,1900
loso,2022/23,0.75,0.19977327849694945,0,1.00,1900
loso,2022/23,1.00,0.19963815670186333,1,1.00,1900
loso,2023/24,0.00,0.20454775495056238,0,1.00,1900
loso,2023/24,0.15,0.2044663201860796,0,1.00,1900
loso,2023/24,0.30,0.20440105617806287,0,1.00,1900
loso,2023/24,0.50,0.2043355000258361,0,1.00,1900
loso,2023/24,0.75,0.20427958083761052,0,1.00,1900
loso,2023/24,1.00,0.20424271781607176,1,1.00,1900
loso,2024/25,0.00,0.20167749410277963,0,1.00,1900
loso,2024/25,0.15,0.2015834791489098,0,1.00,1900
loso,2024/25,0.30,0.2015097398629332,0,1.00,1900
loso,2024/25,0.50,0.2014367558260052,0,1.00,1900
loso,2024/25,0.75,0.2013735930070848,0,1.00,1900
loso,2024/25,1.00,0.20132880640825385,1,1.00,1900
past_only,2019/20,,,,0.00,0
past_only,2020/21,0.00,0.19891245005576408,0,1.00,380
past_only,2020/21,0.15,0.1988312495094801,0,1.00,380
past_only,2020/21,0.30,0.19875414975123157,0,1.00,380
past_only,2020/21,0.50,0.19866244512175796,0,1.00,380
past_only,2020/21,0.75,0.19857384949500587,0,1.00,380
past_only,2020/21,1.00,0.19852058054454194,1,1.00,380
past_only,2021/22,0.00,0.20832072857178063,0,1.00,760
past_only,2021/22,0.15,0.2081317062169219,0,1.00,760
past_only,2021/22,0.30,0.20794939955104805,0,1.00,760
past_only,2021/22,0.50,0.20772380084581005,0,1.00,760
past_only,2021/22,0.75,0.2074775882446846,0,1.00,760
past_only,2021/22,1.00,0.2072756490220513,1,1.00,760
past_only,2022/23,0.00,0.20348373702570716,0,1.00,1140
past_only,2022/23,0.15,0.2032765667468075,0,1.00,1140
past_only,2022/23,0.30,0.20308012071008433,0,1.00,1140
past_only,2022/23,0.50,0.2028388186642732,0,1.00,1140
past_only,2022/23,0.75,0.20257471351893916,0,1.00,1140
past_only,2022/23,1.00,0.20235565373285555,1,1.00,1140
past_only,2023/24,0.00,0.2048679453228489,0,1.00,1520
past_only,2023/24,0.15,0.20480917839923998,0,1.00,1520
past_only,2023/24,0.30,0.20475817997113774,0,1.00,1520
past_only,2023/24,0.50,0.20470029157008593,0,1.00,1520
past_only,2023/24,0.75,0.20464045216194335,0,1.00,1520
past_only,2023/24,1.00,0.20459172485135976,1,1.00,1520
past_only,2024/25,0.00,0.20167749410277963,0,1.00,1900
past_only,2024/25,0.15,0.2015834791489098,0,1.00,1900
past_only,2024/25,0.30,0.2015097398629332,0,1.00,1900
past_only,2024/25,0.50,0.2014367558260052,0,1.00,1900
past_only,2024/25,0.75,0.2013735930070848,0,1.00,1900
past_only,2024/25,1.00,0.20132880640825385,1,1.00,1900
