key,match_id,season,block,cutoff,w,home_key,away_key,y,rps_arm,rps_native,delta
2023-02-13|0.15|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,000a90aad8d3b6d1,2022/23,2022/23|2023W07,2023-02-13,0.15,newcastle,liverpool,2,0.1539817058845609,0.15536139972097965,-0.001379693836418755
2023-02-13|0.30|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,000a90aad8d3b6d1,2022/23,2022/23|2023W07,2023-02-13,0.30,newcastle,liverpool,2,0.15287184576585092,0.15536139972097965,-0.0024895539551287316
2023-02-13|0.50|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,000a90aad8d3b6d1,2022/23,2022/23|2023W07,2023-02-13,0.50,newcastle,liverpool,2,0.15175719925238487,0.15536139972097965,-0.003604200468594776
2023-02-13|0.75|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,000a90aad8d3b6d1,2022/23,2022/23|2023W07,2023-02-13,0.75,newcastle,liverpool,2,0.1508260961721421,0.15536139972097965,-0.004535303548837549
2023-02-13|1.00|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,000a90aad8d3b6d1,2022/23,2022/23|2023W07,2023-02-13,1.00,newcastle,liverpool,2,0.15027014949530224,0.15536139972097965,-0.005091250225677413
2021-09-13|0.15|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,003d37efc3c7e69f,2021/22,2021/22|2021W37,2021-09-13,0.15,brighton,leicester,0,0.3561897753554042,0.35600954536300805,0.00018022999239614146
2021-09-13|0.30|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,003d37efc3c7e69f,2021/22,2021/22|2021W37,2021-09-13,0.30,brighton,leicester,0,0.3561408081354325,0.35600954536300805,0.00013126277242442308
2021-09-13|0.50|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,003d37efc3c7e69f,2021/22,2021/22|2021W37,2021-09-13,0.50,brighton,leicester,0,0.3557786116353602,0.35600954536300805,-0.00023093372764787512
2021-09-13|0.75|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,003d37efc3c7e69f,2021/22,2021/22|2021W37,2021-09-13,0.75,brighton,leicester,0,0.35496564762608046,0.35600954536300805,-0.0010438977369275904
2021-09-13|1.00|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,003d37efc3c7e69f,2021/22,2021/22|2021W37,2021-09-13,1.00,brighton,leicester,0,0.3538664597414921,0.35600954536300805,-0.002143085621515939
2023-05-01|0.15|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,007c218284896d4d,2022/23,2022/23|2023W18,2023-05-01,0.15,newcastle,arsenal,2,0.23571473953181754,0.23751463740492862,-0.0017998978731110782
2023-05-01|0.30|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,007c218284896d4d,2022/23,2022/23|2023W18,2023-05-01,0.30,newcastle,arsenal,2,0.23415355207042962,0.23751463740492862,-0.0033610853344989977
2023-05-01|0.50|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,007c218284896d4d,2022/23,2022/23|2023W18,2023-05-01,0.50,newcastle,arsenal,2,0.23241897169139927,0.23751463740492862,-0.005095665713529346
2023-05-01|0.75|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,007c218284896d4d,2022/23,2022/23|2023W18,2023-05-01,0.75,newcastle,arsenal,2,0.2307067755954089,0.23751463740492862,-0.006807861809519727
