key,match_id,season,block,date,cutoff,block_cutoff,staleness_days,home_key,away_key,y,rps_fresh,rps_block,delta
2023-02-18|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,000a90aad8d3b6d1,2022/23,2022/23|2023W07,2023-02-18,2023-02-18,2023-02-13,5,newcastle,liverpool,2,0.1532390110089617,0.15536139972097965,-0.0021223887120179474
2021-09-19|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,003d37efc3c7e69f,2021/22,2021/22|2021W37,2021-09-19,2021-09-19,2021-09-13,6,brighton,leicester,0,0.3546113898499076,0.35600954536300805,-0.001398155513100463
2023-05-07|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,007c218284896d4d,2022/23,2022/23|2023W18,2023-05-07,2023-05-07,2023-05-01,6,newcastle,arsenal,2,0.23225534341899962,0.23751463740492862,-0.005259293985929003
2020-07-01|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,008341cf425b53cf,2019/20,2019/20|2020W27,2020-07-01,2020-07-01,2020-06-29,2,everton,leicester,0,0.27799092441411927,0.2764714615505237,0.0015194628635955554
2023-12-02|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,00b6fc8e180544e3,2023/24,2023/24|2023W48,2023-12-02,2023-12-02,2023-11-27,5,burnley,sheffield_united,0,0.16232538679503172,0.16204280695703227,0.00028257983799945263
2023-04-26|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,00bca79c2657b2d8,2022/23,2022/23|2023W17,2023-04-26,2023-04-26,2023-04-25,1,man_city,arsenal,0,0.06949618169358501,0.07020433940384452,-0.0007081577102595049
2021-05-09|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,00e0f616b83c9ca8,2020/21,2020/21|2021W18,2021-05-09,2021-05-09,2021-05-03,6,arsenal,west_brom,0,0.050283024984787844,0.04841787305413144,0.0018651519306564016
2022-10-08|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,01560cde8c17dbbc,2022/23,2022/23|2022W40,2022-10-08,2022-10-08,2022-10-03,5,bournemouth,leicester,0,0.42551703222067455,0.4143386546111353,0.01117837760953927
2020-02-01|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,01643ba84313afb4,2019/20,2019/20|2020W05,2020-02-01,2020-02-01,2020-01-29,3,newcastle,norwich,1,0.18029754761332842,0.1802623700148561,3.51775984723246e-05
2022-08-31|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,016d0c7470ea6555,2022/23,2022/23|2022W35,2022-08-31,2022-08-31,2022-08-30,1,liverpool,newcastle,0,0.024600741758802502,0.024985150786242645,-0.00038440902744014266
2021-09-18|20260611|9f2e086d39ae4b855ba21604367109e8e9ce00f96010c5ec65c380d317986abc,01ae5b0f97e9d3c2,2021/22,2021/22|2021W37,2021-09-18,2021-09-18,2021-09-13,5,liverpool,crystal_palace,0,0.026886367549499305,0.026995108026110895,-0.00010874047661159
