season,cutoff_label,cutoff,treated_clubs,n_treated_clubs,trps_control,trps_treatment,delta_trps,wtrps_control,wtrps_treatment,delta_wtrps,mc_se_paired,identical,sampler_digest_control,sampler_digest_treatment,substantive_digest_control,substantive_digest_treatment,parity_digest_simretro,provisional_control,provisional_treatment,effective_posterior_control,effective_posterior_treatment,tally_sha256,cov50_control,cov90_control,cov50_treatment,cov90_treatment,cov50_treated_control,cov90_treated_control,cov50_treated_treatment,cov90_treated_treatment,realised_hash
2019/20,MW3,2019-08-31,aston_villa;norwich,2,0.08986678265789473,0.0911424778618421,0.0012756952039473662,0.08689889943750001,0.08738072685000002,0.0004818274125000105,0.00011705470175083833,False,baf8c354983a18d49fd30d075edc9a6aad7ea19e697655112b6a7513afa8d4fb,746a86ea4968aa91c7781ee035f75ec59b875a0b5cc3e9b3bbd4842f3b1d913d,2080f020c39a2e0728b456a44f320c7829022ca3b034edc99c34567d87028eb4,419b6d80ccbb1feacbd3949d1771568da01c6ffec4afbcaf94bd71ea20115116,2080f020c39a2e0728b456a44f320c7829022ca3b034edc99c34567d87028eb4,sheffield_united,aston_villa;norwich;sheffield_united,31f93906d773a832a40b07d70e79ee5f9ac08846a01fba6bd9d3e2169eb5ccbf,afd4e9eefcce2c04ee044ec1286263659efa2930b800d3ce51e4f25ef5b965dd,a9cc297c97a93bfaaf33d2e693b1d16ecdcb1285373024a74207341ca9ce9399,0.3,1.0,0.35,0.95,0.5,1.0,0.5,0.5,4653d8978c5b8b0891e1c1970716784bf00f5a139cb2e4ea927a2ab903df5226
2019/20,MW6,2019-09-28,aston_villa;norwich;sheffield_united,3,0.09259046249342105,0.09387921102960525,0.0012887485361842005,0.08570921247499999,0.08652270776249998,0.0008134952874999934,0.00016078010845182097,False,e441b8043a20ca81be0e6e6a3aa9f9cea4424dbf212fd255da99e1c1e560ffd0,cb537ddb7270b703a8ce0957938be6197c7544a82cbc8188f9ef27b5be7e787c,8dbc6f6d8023ef3822adedf05c675ba2351c1418139272ac1aae8a162a76f7fd,c8a8eb38e574304ca44d8af66d04a63a169c918aee19c42867b91358006d0963,8dbc6f6d8023ef3822adedf05c675ba2351c1418139272ac1aae8a162a76f7fd,,aston_villa;norwich;sheffield_united,8860c9f757284644ede8ce93b5e296863db3bc6ea528f9f07c220c89df40af0c,f0fb1e0abef0e92db61fcbe4dbf4482ee5349acc29005d716a024d93044ae0fc,5edd4683a048d33bb6c0be91efe73efd1a7969ee6ec8ee77331f326f2652678c,0.4,0.95,0.4,0.95,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,4653d8978c5b8b0891e1c1970716784bf00f5a139cb2e4ea927a2ab903df5226
2019/20,MW10,2019-11-02,sheffield_united,1,0.07214100053289474,0.07171965736513157,-0.00042134316776316905,0.053927855025,0.05355653635,-0.0003713186749999958,7.141303910464445e-05,False,231e0a3bc575cb147c864ea83570c9ba1b1d7dc39b687f761090bdd65e1fdcb2,bac6c4d3daf87c1f958e1c60459c3d49536ec7a8272f123f655bf6c1f42f8b9a,2b8c5ae6805cc5bd38ea463de77c3944f088aeff88febf87af6b6dcce548068d,9009f2459b8a5d02370af067f0f2a46b769f760c587562568848f77a55dd3c9b,2b8c5ae6805cc5bd38ea463de77c3944f088aeff88febf87af6b6dcce548068d,,sheffield_united,9763a9187dde2368d121951ef43bd9b323d425112cdd9fb9bf3119fbee534b63,c38fd7a83ab0ff8ba94df05fa34202ddf5592bb27ec8fd61307911a9f468a4f2,3e6c3b193679fcfa3bfd0288f40fb74ab078cfe4dd29320e2184923dfa1c59ef,0.45,0.95,0.45,0.95,1.0,1.0,1.0,1.0,4653d8978c5b8b0891e1c1970716784bf00f5a139cb2e4ea927a2ab903df5226
2019/20,MW19,2020-01-01,,0,0.049691211381578955,0.049691211381578955,0.0,0.0409125012125,0.0409125012125,0.0,,True,a88defc186eb0c2d40a196d0dd2bbe0dd8a891d26259055b0aaf2795d5593655,a88defc186eb0c2d40a196d0dd2bbe0dd8a891d26259055b0aaf2795d5593655,e85bb76593f229a2ff9fa1fa3bff906a07cd7c2cf454ff851dbc09f2e0e77ab9,e85bb76593f229a2ff9fa1fa3bff906a07cd7c2cf454ff851dbc09f2e0e77ab9,e85bb76593f229a2ff9fa1fa3bff906a07cd7c2cf454ff851dbc09f2e0e77ab9,,,76da71c2978c2193c94c5819df5bd4af5f522760ae4084045b618c5f6cc24923,76da71c2978c2193c94c5819df5bd4af5f522760ae4084045b618c5f6cc24923,668a676a5f449f808e4a9415bdf91c938974966117e30b03f2c3f62a87b6722b,0.6,0.85,0.6,0.85,,,,,4653d8978c5b8b0891e1c1970716784bf00f5a139cb2e4ea927a2ab903df5226
2020/21,MW3,2020-10-17,,0,0.07397515739144737,0.07397515739144737,0.0,0.06561039503749999,0.06561039503749999,0.0,,True,a486f2afc3436037f72e0842c245076c476c7663a55d723ecae51c8c2a9aeca3,a486f2afc3436037f72e0842c245076c476c7663a55d723ecae51c8c2a9aeca3,29f9cf580e4f64e6ed95e787d2c7ebd1215d7ef20ea566fa9795e4f6af53375f,29f9cf580e4f64e6ed95e787d2c7ebd1215d7ef20ea566fa9795e4f6af53375f,29f9cf580e4f64e6ed95e787d2c7ebd1215d7ef20ea566fa9795e4f6af53375f,leeds;leicester,leeds;leicester,1108fdc0eb46d1d2ddba6830cb6c58792094f5327d5554899da9e9b89e51c3be,1108fdc0eb46d1d2ddba6830cb6c58792094f5327d5554899da9e9b89e51c3be,a5f96681f8fe7944a283bb4eb411e692050429f5fe82b06b0f8d83e5efd65cbd,0.6,0.85,0.6,0.85,,,,,b865e009bdeabfb289f17b4666b9ef153405a15a4b100ffc24511a8cce3ff9eb
2020/21,MW6,2020-11-02,leeds,1,0.07620159107894736,0.07545456135855264,-0.0007470297203947263,0.06774127976249998,0.0667082035,-0.0010330762624999879,6.0875044253794594e-05,False,55117bd37d974c166dc5f62d568d2bcdfc472a363bebab8490f225104b19e546,1a6889e5255b9c19ef022be9b2370cbd2fd855c93f65e56ff68647ec3e041eee,675469d7731aa892c14ada86cd600a34d0f08273ec3445a602af83e4e7fa8dd3,db0913effe7e7498bf53824be8448e96bebcf33302c9b262eed6527d61af3eab,675469d7731aa892c14ada86cd600a34d0f08273ec3445a602af83e4e7fa8dd3,leicester,leeds;leicester,a5a330d66b788780847448420e61ffa4545c214bdfad7e88987ad6448aa76a16,ed27b8ede12a4068ed68fbb94f7d018b330d2f81909e295fec1c512b7e9a62a3,d813e9b39f17272a4bb9e73d091ad992def7395d35a5b9383cef36752d675474,0.55,0.85,0.55,0.85,1.0,1.0,1.0,1.0,b865e009bdeabfb289f17b4666b9ef153405a15a4b100ffc24511a8cce3ff9eb
2020/21,MW10,2020-12-07,,0,0.06639132390131579,0.06639132390131579,0.0,0.0461848049,0.0461848049,0.0,,True,3f28605ad0831c63447ffa750c8139a84f1c2166256ca730d2317a600dbe4935,3f28605ad0831c63447ffa750c8139a84f1c2166256ca730d2317a600dbe4935,0cd45129a2393f1bf344e55b616042cfe31be1dc57a47919dd239a433c5b7f07,0cd45129a2393f1bf344e55b616042cfe31be1dc57a47919dd239a433c5b7f07,0cd45129a2393f1bf344e55b616042cfe31be1dc57a47919dd239a433c5b7f07,aston_villa,aston_villa,e71799e4b283d3b943181b416f8a95485e606f4a9c34dcbc600150d72a74bb91,e71799e4b283d3b943181b416f8a95485e606f4a9c34dcbc600150d72a74bb91,86db9c6c6c10b1135ae93ca2258cf0c3b8343acc5d6805e2f75e6f0577932ea0,0.55,0.9,0.55,0.9,,,,,b865e009bdeabfb289f17b4666b9ef153405a15a4b100ffc24511a8cce3ff9eb
2020/21,MW19,2021-02-02,,0,0.05075851779276315,0.05075851779276315,0.0,0.0325681353625,0.0325681353625,0.0,,True,945705481e083851c32e99b18608e1155945736939eba5c155ee534812017e0d,945705481e083851c32e99b18608e1155945736939eba5c155ee534812017e0d,600c68b199710d8b999d573743bef71056341c8a94cdede59603befb71a970e6,600c68b199710d8b999d573743bef71056341c8a94cdede59603befb71a970e6,600c68b199710d8b999d573743bef71056341c8a94cdede59603befb71a970e6,,,06e2d5c1464556f2a670f2240944a31d6f5358b4b308c98084fdaed1c86e23a7,06e2d5c1464556f2a670f2240944a31d6f5358b4b308c98084fdaed1c86e23a7,6b9c887b8351e6ae9259a78b0ac3403dfcf89ee0f22fba51e9225cf0bb4b3a6f,0.7,1.0,0.7,1.0,,,,,b865e009bdeabfb289f17b4666b9ef153405a15a4b100ffc24511a8cce3ff9eb
2021/22,MW0,2021-08-13,,0,0.08823481416776316,0.08823481416776316,0.0,0.055193373062499995,0.055193373062499995,0.0,,True,10add8a24d46233eac1904ffd99b56e0e8b97985eb420c1c30cd98fa9ff37aab,10add8a24d46233eac1904ffd99b56e0e8b97985eb420c1c30cd98fa9ff37aab,4a7ef73a87e9179dc54d6aeba68f06086e5631d137b5d0bb5b0f110420f33485,4a7ef73a87e9179dc54d6aeba68f06086e5631d137b5d0bb5b0f110420f33485,4a7ef73a87e9179dc54d6aeba68f06086e5631d137b5d0bb5b0f110420f33485,brentford,brentford,6dab093e5eca24b8e7d4a5c94a6301dd803ed30b09963114c0bc0ab78f2198de,6dab093e5eca24b8e7d4a5c94a6301dd803ed30b09963114c0bc0ab78f2198de,8a0e522a698ad92cb10608ccd0609601791cb6907261459d4c3fa52de77be53e,0.5,0.95,0.5,0.95,,,,,2a4f795ad2a542032287104d646d2a176e7bfe4ca7069133f717ee08081ccffb
2021/22,MW3,2021-09-11,,0,0.08835286111513158,0.08835286111513158,0.0,0.049939972249999985,0.049939972249999985,0.0,,True,a0258a46f8ae36c63f4fae36663708b75da541866688a2d0425ba7c1910c7193,a0258a46f8ae36c63f4fae36663708b75da541866688a2d0425ba7c1910c7193,029275c22dfddb5bb74f443350c310cde2d99101c66e29e61977befa8a99a63f,029275c22dfddb5bb74f443350c310cde2d99101c66e29e61977befa8a99a63f,029275c22dfddb5bb74f443350c310cde2d99101c66e29e61977befa8a99a63f,brentford,brentford,b87b8c2e1309b259f7c4f29d9cbfd82a13d51e549b587c1d4a68742fd4e2a1d5,b87b8c2e1309b259f7c4f29d9cbfd82a13d51e549b587c1d4a68742fd4e2a1d5,bc9976ddd32c79a1b8d61dd4d328313e0ea3267efbd1a5b9f3f86982549e1a4a,0.45,0.9,0.45,0.9,,,,,2a4f795ad2a542032287104d646d2a176e7bfe4ca7069133f717ee08081ccffb
