team,covered
Argentina,True
Argentina U20,True
Argentina Women's,True
Australia,True
Australia Women's,True
Belgium,True
Brazil,True
Brazil Women's,True
Cameroon,True
Cameroon W,True
Canada,True
Canada Women's,True
Chile Women's,True
China PR Women's,True
Colombia,True
Colombia Women's,True
Costa Rica,True
Costa Rica Women's,True
Croatia,True
Czechoslovakia,True
Denmark,True
Denmark Women's,True
Ecuador,True
Egypt,True
England,True
England Women's,True
France,True
France Women's,True
German DR,True
Germany,True
Germany Women's,True
Ghana,True
Haiti Women's,True
Iceland,True
Iran,True
Italy,True
Italy Women's,True
Jamaica Women's,True
Japan,True
Japan Women's,True
Korea Republic Women's,True
Mexico,True
Morocco,True
Morocco Women's,True
Netherlands,True
Netherlands Women's,True
New Zealand Women's,True
Nigeria,True
Nigeria Women's,True
Norway Women's,True
Panama,True
Panama Women's,True
Peru,True
Philippines Women's,True
Poland,True
Portugal,True
Portugal Women's,True
Qatar,True
Republic of Ireland Women's,True
Romania,True
Russia,True
Saudi Arabia,True
Scotland W,True
Senegal,True
Serbia,True
South Africa Women's,True
South Korea,True
Soviet Union U20,True
Spain,True
Spain Women's,True
Sweden,True
Sweden Women's,True
Switzerland,True
Switzerland Women's,True
Thailand W,True
Tunisia,True
United States,True
United States Women's,True
Uruguay,True
Vietnam Women's,True
Wales,True
Zambia W,True
